AVAILABILITY_365;CALCULATED_HOST_LISTINGS_COUNT;HOST_ID;HOST_NAME;ID;LAST_REVIEW;LATITUDE;LONGITUDE;MINIMUM_NIGHTS;NAME;NEIGHBOURHOOD;NEIGHBOURHOOD_GROUP;NUMBER_OF_REVIEWS;PRICE;REVIEWS_PER_MONTH;ROOM_TYPE
130;1;132663431;Jos;19014614;24/06/2017;5.245.016.680.073.980;13.319.018.031.153.900;14;Big, bright, beautiful and modern apartment;Albrechtstr.;Steglitz - Zehlendorf;2;80;0.12;Entire home/apt
0;1;3138447;Sani;24038194;15/10/2018;52.527.841.753.143.500;13.398.099.261.107.300;3;A private room  perfectly located in Berlin Mitte;Alexanderplatz;Mitte;4;80;0.55;Private room
83;1;51424116;An;16221897;;5.251.271.780.902.170;13.447.836.946.244.100;1;Cosy comfortable central;Karl-Marx-Allee-Süd;Friedrichshain-Kreuzberg;0;80;;Private room
273;1;138903513;Carmen;19711185;22/10/2018;524.558.669.905.266;13.316.336.149.468.100;3;Quiet Apartment with a big sunny terrace;Schloßstr.;Steglitz - Zehlendorf;16;80;1.09;Entire home/apt
24;1;1820369;Melanie;24095551;28/07/2018;5.257.093.526.742.040;1.355.651.958.066.270;7;Huge and cozy familyhouse with garden.;Malchow, Wartenberg und Falkenberg;Lichtenberg;3;80;0.68;Entire home/apt
0;1;54963541;Marina;18870646;16/09/2018;5.250.653.892.940.880;13.478.074.943.133.100;1;Große, helle DG-Wohnung // Bright top floor flat;Neu Lichtenberg;Lichtenberg;11;80;0.62;Entire home/apt
304;6;135973285;Naomi;20943832;25/10/2018;52.532.391.103.044.400;13.379.723.670.030.200;3;Cosy altbau studio flat in central Berlin;Alexanderplatz;Mitte;66;80;4.81;Entire home/apt
223;5;23042311;Maria;16777646;16/10/2018;52.523.966.026.450.400;13.386.045.239.147.200;4;Very central and very quiet;Alexanderplatz;Mitte;55;80;2.52;Entire home/apt
0;1;13498991;Anja;19668435;24/09/2017;5.248.515.728.220.180;13.444.998.640.969.300;2;HUge 100sqm flat with balcony in fun Neukölln!;Rixdorf;Neukölln;10;80;0.61;Entire home/apt
0;1;36792790;Michaela;13587828;17/07/2016;5.254.487.139.581.700;13.348.419.966.458.800;4;Zentral und ruhig, helle Maisonette Wohnung;Parkviertel;Mitte;1;80;0.04;Entire home/apt
0;1;51050498;Jan;16432117;17/06/2017;5.249.439.358.791.780;13.421.495.257.192.600;3;Cosy apartment in Kreuzkölln/ Berlin;Reuterstraße;Neukölln;3;80;0.13;Entire home/apt
275;1;3808482;Gabriele;823209;05/11/2018;52.529.372.606.341.400;13.338.964.188.090.300;2;Nice and Cozy Apartment in Mitte !;Moabit West;Mitte;193;80;2.78;Entire home/apt
310;2;108585765;Düzgün;28217631;;524.948.345.872.409;13.402.364.397.519.300;60;Cozy Apartment at ;;;;;;
"Ideal Location""";Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;0;80;;Entire home/apt;;;;;;;;;
6;1;46054305;Paul;21672718;02/09/2018;5.246.520.817.904.130;13.434.767.534.842.300;2;Nice and quiet with terrasse – perfect for couples;Neuköllner Mitte/Zentrum;Neukölln;23;80;1.95;Entire home/apt
0;1;124447133;Katarzyna;18074987;;5.253.131.705.184.310;13.351.415.068.315.900;2;Arty mid century in Mitte;Moabit Ost;Mitte;0;80;;Entire home/apt
26;1;28532237;Inga;28238753;28/10/2018;5.249.044.521.431.590;13.392.709.927.017.000;3;Moderne 2-Zimmer-Wohnung im Herzen von Kreuzberg;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;2;80;1.76;Entire home/apt
0;1;8048514;/ We Are Sujmo / Billie / Nina;1523419;05/08/2018;5.252.783.452.178.060;13.408.004.692.290.200;3;Heart of Berlin - Summertime in Mitte;Alexanderplatz;Mitte;2;80;0.09;Entire home/apt
0;1;49845399;Daniel;9638686;16/08/2018;5.253.921.277.850.130;1.342.458.467.129.150;3;Cosy flat in Prenzlauer Berg;Helmholtzplatz;Pankow;7;80;0.2;Entire home/apt
61;2;53459732;Pawel;17308345;01/11/2018;5.245.958.767.710.760;1.330.345.186.546.280;1;modern & chic apartment next to Botanic Garden;Zehlendorf  Nord;Steglitz - Zehlendorf;89;80;4.66;Entire home/apt
0;1;2681945;Tine;16630402;30/06/2017;52.489.964.080.231.400;13.402.282.303.680.500;6;Super Cosy 3 rooms Flat in Best Spot in Kreuzberg;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;2;80;0.12;Entire home/apt
310;2;7400141;Pascale;23921001;17/07/2018;524.756.680.357.891;13.421.943.477.561.600;3;Spacious & bright apartment in trendy Schillerkiez;Schillerpromenade;Neukölln;1;80;0.26;Entire home/apt
0;1;73713144;Dennis;13180619;09/07/2016;5.253.097.709.450.880;13.341.240.719.093.200;4;Private top floor apartment in Tiergarten;Moabit West;Mitte;4;80;0.14;Entire home/apt
34;1;13588225;Marisa;2673334;;5.255.386.914.491.500;13.407.352.039.360.000;1;Nice apartment 2 bedroom ;Prenzlauer Berg Nordwest;Pankow;0;80;;Entire home/apt
0;1;23185095;Roman;4468728;04/04/2016;5.250.354.804.448.060;13.417.343.465.685.400;1;Bright flat with studio booth;nördliche Luisenstadt;Friedrichshain-Kreuzberg;1;80;0.03;Private room
0;1;20807012;Florian;15848205;09/07/2018;52.484.393.810.483.800;13.428.199.013.214.000;2;rise & shine Berlin - homey apartment in Neukölln;Neuköllner Mitte/Zentrum;Neukölln;12;80;0.5;Entire home/apt
74;2;2533061;Charlotte And Romain;2158546;20/08/2018;5.250.472.788.199.000;13.427.109.881.173.700;10;74qm Loft in a tree;nördliche Luisenstadt;Friedrichshain-Kreuzberg;1;80;0.37;Entire home/apt
11;1;214215858;Marco;28373337;07/11/2018;5.251.227.896.965.820;13.458.545.826.943.000;1;Wohnung am Boxhagener Platz;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;8;80;7.5;Entire home/apt
227;4;11502578;Andrea;4376944;01/11/2018;52.529.660.448.175.100;13.390.076.016.828.100;1;SPACIOUS • 85 m (Website hidden by Airbnb) Wall Memorial & Reichstag;Brunnenstr. Süd;Mitte;215;80;5.34;Entire home/apt
311;2;108585765;Düzgün;16537114;;5.249.426.126.060.810;13.402.921.215.681.200;60;Cozy Apartment at Ideal Location;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;0;80;;Entire home/apt
0;1;144935691;Senta;20344931;;5.246.723.105.329.550;13.329.101.511.383.200;5;Schöne 2-Zimmerwohnung in zentraler Lage;Friedenau;Tempelhof - Schöneberg;0;80;;Entire home/apt
81;1;31536238;Caroline;28458292;08/10/2018;5.250.866.954.131.860;13.318.914.243.552.200;1;Zimmer im Dachloft;Kantstraße;Charlottenburg-Wilm.;2;80;1.54;Private room
0;3;8589425;Džiovana;13125834;24/09/2018;5.248.142.442.636.680;13.450.949.754.502.200;3;Spacious room in Kreuzberg/Neukoelln;Rixdorf;Neukölln;5;80;0.37;Private room
0;1;27067659;Danja;5257342;11/07/2015;52.484.194.038.130.300;13.448.186.451.468.300;3;Roomy and sunny studio;Rixdorf;Neukölln;4;80;0.1;Entire home/apt
85;1;19717546;Nico;3830494;29/06/2018;5.250.857.429.065.610;13.467.624.517.183.600;3;Modern cozy flat in the centre of Berlin - F-Hain;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;11;80;0.21;Private room
0;1;25398236;James;4930385;06/04/2015;52.485.375.952.675.000;1.342.902.106.856.400;4;Bright Neukölln Apartment;Reuterstraße;Neukölln;2;80;0.04;Entire home/apt
142;2;171262403;Jonas;23085702;04/11/2018;5.252.496.646.021.770;1.340.626.433.674.380;4;Super Central Quiet Apt, TV Tower View;Alexanderplatz;Mitte;40;80;4.4;Entire home/apt
149;1;2830411;Benjamin;28571069;05/11/2018;5.251.321.942.116.300;13.449.684.913.597.800;5;Contemporary studio in diverse neighbourhood;Karl-Marx-Allee-Süd;Friedrichshain-Kreuzberg;4;80;3.24;Private room
0;1;8723577;Michaela;23339442;25/09/2018;52.563.514.986.404.100;13.427.476.872.295.600;7;Spacious and quiet apartment near Prenzlauer Berg;Blankenburg/Heinersdorf/Märchenland;Pankow;6;80;0.77;Entire home/apt
0;1;7692124;Maximilian;4666624;04/01/2015;5.249.067.410.247.450;13.338.793.062.836.300;3;Centrally located apt in Schöneberg;Schöneberg-Süd;Tempelhof - Schöneberg;1;80;0.02;Entire home/apt
0;1;142377055;Madeleine;20045752;15/12/2017;52.471.632.404.559.800;13.447.566.061.092.600;2;"Stylish apartment with Berlin charm in ""Neukölln""";Rixdorf;Neukölln;4;80;0.28;Entire home/apt
0;1;6842515;Catrin;19734698;28/07/2018;52.491.625.202.039.700;13.424.095.352.747.000;3;Bright, quiet 90sqm flat near Maybachufer;Reuterstraße;Neukölln;2;80;0.14;Entire home/apt
364;1;10910242;Jasmin;5307582;14/12/2015;5.253.747.868.692.270;13.377.468.274.615.300;10;Charming Apartment Berlin;Brunnenstr. Süd;Mitte;9;80;0.2;Entire home/apt
37;1;168548569;Carlotta;28622624;04/11/2018;5.251.377.044.372.430;13.315.497.677.922.900;1;Beautiful Studio with Balcony - City West;Otto-Suhr-Allee;Charlottenburg-Wilm.;10;80;6.98;Entire home/apt
0;1;452231;Teresa;11868459;23/04/2016;52.535.003.353.538.700;13.421.566.684.669.400;1;Familienfreundliche Altbauwohnung;Prenzlauer Berg Südwest;Pankow;2;80;0.06;Entire home/apt
0;1;57864044;Ka & Pool;11135727;09/07/2017;5.252.558.593.140.900;13.457.354.867.534.900;5;Confortable and lovely apartment;Prenzlauer Berg Ost;Pankow;7;80;0.25;Entire home/apt
173;1;22852674;Michael;23641192;;5.246.944.330.471.400;1.342.844.602.658.470;60;Richtig schöne Wohnung mit bester Anbindung.;Schillerpromenade;Neukölln;0;80;;Entire home/apt
0;1;24659341;Anna;15105723;09/07/2017;5.253.112.341.334.060;13.415.333.856.298.900;3;Feel Home in Prenzlauer Berg ❤️;Prenzlauer Berg Südwest;Pankow;18;80;0.74;Entire home/apt
